Megnevezés,Leírás,Feladat,Fizetés
Lakatos,"Debreceni hűtőházba keresünk jó szakmai ismeretekkel rendelkező lakatosokat, gépészeket. A munkavégzés rugalmasan 3 műszakban végezhető, utazás, munkaruha biztosított. Feltétel a 17. életév betöltése.","Feladatod lesz a telephelyen felmerűlő lakatos segédmunkák elvégzése, fúrás, faragás hegesztés.",Br. 1000Ft + tv pótlék
Gépészmérnök,Gépészmérnök hallgatók jelentkezésést várjuk a Balmazújvárosi úton található hűtőházba. Céges busz biztosítja az utazást. A munka rugalmasan végezhető 3 műszakban. Kötelező szakmai gyakorlat is teljesíthető.,"Fejlesztések, beruházások koordinálása, beszerzési feladatok ellátása (árajánlatok bekérése és azok kiértékelése). ",Br. 1000Ft + tv pótlék
